who,pro_com,selectedhospitalemp,selectedhospital,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
175,51002,48,61,false,0,50,-10,0,10,false,0,0,false
176,51002,48,60,false,0,50,-10,0,10,false,0,0,false
177,51002,48,48,false,0,50,-10,0,10,false,0,0,false
178,51002,48,63,false,0,50,-10,0,10,false,0,0,false
179,51002,48,61,false,0,50,-10,0,10,false,0,0,false
180,51002,48,60,false,0,50,-10,0,10,false,0,0,false
181,51002,48,61,false,0,50,-10,0,10,false,0,0,false
182,51002,48,48,false,0,50,-10,0,10,false,0,0,false
183,51002,48,63,false,0,50,-10,0,10,false,0,0,false
184,51002,48,48,false,0,50,-10,0,10,false,0,0,false
185,51002,48,58,false,0,50,-10,0,10,false,0,0,false
186,51002,48,50,false,0,50,-10,0,10,false,0,0,false
187,51002,48,61,false,0,50,-10,0,10,false,0,0,false
188,51002,48,63,false,0,50,-10,0,10,false,0,0,false
189,51002,48,48,false,0,50,-10,0,10,false,0,0,false
190,51002,48,63,false,0,50,-10,0,10,false,0,0,false
191,51002,48,63,false,0,50,-10,0,10,false,0,0,false
192,51002,48,50,false,0,50,-10,0,10,false,0,0,false
193,51002,48,48,false,0,50,-10,0,10,false,0,0,false
194,51002,48,50,false,0,50,-10,0,10,false,0,0,false
195,51002,48,63,false,0,50,-10,0,10,false,0,0,false
196,51002,48,48,false,0,50,-10,0,10,false,0,0,false
197,51002,48,61,false,0,50,-10,0,10,false,0,0,false
198,51002,48,48,false,0,50,-10,0,10,false,0,0,false
199,51002,48,61,false,0,50,-10,0,10,false,0,0,false
200,51002,48,63,false,0,50,-10,0,10,false,0,0,false
201,51002,48,60,false,0,50,-10,0,10,false,0,0,false
202,51002,48,60,false,0,50,-10,0,10,false,0,0,false
203,51002,48,48,false,0,50,-10,0,10,false,0,0,false
204,51002,48,50,false,0,50,-10,0,10,false,0,0,false
205,51002,48,60,false,0,50,-10,0,10,false,0,0,false
206,51002,48,60,false,0,50,-10,0,10,false,0,0,false
207,51002,48,61,false,0,50,-10,0,10,false,0,0,false
208,51002,48,58,false,0,50,-10,0,10,false,0,0,false
209,51002,48,61,false,0,50,-10,0,10,false,0,0,false
210,51002,48,48,false,0,50,-10,0,10,false,0,0,false
211,51002,48,60,false,0,50,-10,0,10,false,0,0,false
212,51002,48,48,false,0,50,-10,0,10,false,0,0,false
213,51002,48,61,false,0,50,-10,0,10,false,0,0,false
214,51002,48,48,false,0,50,-10,0,10,false,0,0,false
215,51002,48,48,false,0,50,-10,0,10,false,0,0,false
216,51002,48,60,false,0,50,-10,0,10,false,0,0,false
217,51002,48,48,false,0,50,-10,0,10,false,0,0,false
218,51002,48,61,false,0,50,-10,0,10,false,0,0,false
219,51002,48,61,false,0,50,-10,0,10,false,0,0,false
220,51002,48,63,false,0,50,-10,0,10,false,0,0,false
221,51002,48,50,false,0,50,-10,0,10,false,0,0,false
222,51002,48,61,false,0,50,-10,0,10,false,0,0,false
223,51002,48,50,false,0,50,-10,0,10,false,0,0,false
224,51002,48,60,false,0,50,-10,0,10,false,0,0,false
225,51002,48,63,false,0,50,-10,0,10,false,0,0,false
226,51002,48,50,false,0,50,-10,0,10,false,0,0,false
227,51002,48,50,false,0,50,-10,0,10,false,0,0,false
228,51002,48,50,false,0,50,-10,0,10,false,0,0,false
229,51002,48,48,false,0,50,-10,0,10,false,0,0,false
230,51002,48,48,false,0,50,-10,0,10,false,0,0,false
231,51002,48,60,false,0,50,-10,0,10,false,0,0,false
232,51002,48,48,false,0,50,-10,0,10,false,0,0,false
233,51002,48,60,false,0,50,-10,0,10,false,0,0,false
234,51002,48,60,false,0,50,-10,0,10,false,0,0,false
235,51002,48,63,false,0,50,-10,0,10,false,0,0,false
236,51002,48,60,false,0,50,-10,0,10,false,0,0,false
237,51002,48,48,false,0,50,-10,0,10,false,0,0,false
238,51002,48,50,false,0,50,-10,0,10,false,0,0,false
239,51002,48,63,false,0,50,-10,0,10,false,0,0,false
240,51002,48,48,false,0,50,-10,0,10,false,0,0,false
241,51002,48,61,false,0,50,-10,0,10,false,0,0,false
242,51002,48,48,false,0,50,-10,0,10,false,0,0,false
243,51002,48,50,false,0,50,-10,0,10,false,0,0,false
244,51002,48,60,false,0,50,-10,0,10,false,0,0,false
245,51002,48,48,false,0,50,-10,0,10,false,0,0,false
246,51002,48,58,false,0,50,-10,0,10,false,0,0,false
247,51002,48,63,false,0,50,-10,0,10,false,0,0,false
248,51002,48,48,false,0,50,-10,0,10,false,0,0,false
249,51002,48,61,false,0,50,-10,0,10,false,0,0,false
250,51002,48,61,false,0,50,-10,0,10,false,0,0,false
251,51002,48,48,false,0,50,-10,0,10,false,0,0,false
252,51002,48,61,false,0,50,-10,0,10,false,0,0,false
253,51002,48,60,false,0,50,-10,0,10,false,0,0,false
254,51002,48,60,false,0,50,-10,0,10,false,0,0,false
