47021,77,44,126,37,33,70,120,30,61,54,39,22,19,38,40,47,43,49,42
47022,71,39,121,32,27,64,115,24,55,48,33,16,14,33,35,46,37,43,37
47023,105,85,167,65,78,98,144,58,89,82,78,44,57,80,81,50,71,77,84
47024,87,72,154,47,60,80,126,40,71,64,60,27,48,67,68,38,53,59,71
48001,44,65,142,15,46,43,89,24,29,27,30,33,49,68,65,81,0,16,74
48002,65,72,150,26,53,58,104,24,49,42,38,33,49,68,70,81,31,37,73
48004,76,83,161,32,64,69,115,35,60,53,49,44,60,79,81,92,42,48,84
48005,55,63,140,17,44,48,94,11,40,32,28,23,39,58,60,71,21,27,64
48006,58,65,141,14,44,51,97,14,43,35,29,25,41,60,62,73,24,30,65
48008,66,46,124,27,27,55,101,29,51,39,8,36,42,71,46,74,32,38,75
48010,76,51,128,39,31,40,86,44,61,23,18,50,50,75,51,82,42,48,79
48011,72,44,121,33,25,59,116,37,57,42,12,33,35,54,44,67,39,44,59
48012,71,59,137,39,40,31,77,47,55,15,27,56,58,83,59,90,37,43,88
48013,59,98,176,45,79,70,116,50,43,54,64,59,75,94,98,107,32,29,99
48014,66,43,120,26,24,56,102,32,50,40,0,41,41,67,43,73,32,38,71
48015,50,71,149,12,52,49,95,31,35,33,36,39,56,75,71,88,11,22,80
48017,51,62,139,0,43,50,96,18,35,34,27,27,43,62,62,76,12,23,68
48018,82,90,168,44,71,75,122,42,67,60,55,50,67,86,90,99,49,54,91
48019,75,39,116,35,20,63,111,41,59,47,17,34,29,48,39,61,41,47,53
48020,78,58,127,45,39,38,85,54,63,22,26,58,57,83,58,89,44,50,87
48021,50,75,153,32,56,40,87,40,33,23,41,48,65,84,76,97,23,20,89
48022,49,66,144,18,47,40,86,25,33,24,31,34,50,69,66,83,13,21,75
48024,53,52,130,13,33,46,92,19,37,30,18,28,44,63,52,76,19,25,68
48025,59,92,170,38,73,70,116,57,43,54,58,66,82,101,92,115,29,30,107
48026,103,110,188,59,91,96,142,62,87,80,76,71,87,106,110,119,65,75,111
48027,86,53,131,45,34,45,91,51,70,28,26,59,54,78,53,86,52,58,82
