who,pro_com,selectedhospitalemp,name_selectedhospitalemp,selectedhospital,name_selectedhospital,rankinglist,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
86,51002,48,AREA ARETINA NORD AREZZO,66,"OSPEDALE UNICO ""VERSILIA""",{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0.05650622969110232] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
87,51002,48,AREA ARETINA NORD AREZZO,69,OSPEDALE SAN LUCA,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0.2748858099422082] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
88,51002,48,AREA ARETINA NORD AREZZO,53,MISERICORDIA GROSSETO,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 -0.19798058852133302] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
89,51002,48,AREA ARETINA NORD AREZZO,55,OSPEDALE DELL'ALTA VAL D'ELSA POGGIBONSI,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.6958155992528571] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
90,51002,48,AREA ARETINA NORD AREZZO,69,OSPEDALE SAN LUCA,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 -0.12687024947668243] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
91,51002,48,AREA ARETINA NORD AREZZO,55,OSPEDALE DELL'ALTA VAL D'ELSA POGGIBONSI,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.36253888924517325] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
92,51002,48,AREA ARETINA NORD AREZZO,51,LE SCOTTE SIENA,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.654949263471454] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
93,51002,48,AREA ARETINA NORD AREZZO,61,NUOVO OSPEDALE DI PRATO S.STEFANO,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 0.8052222634693026] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
94,51002,48,AREA ARETINA NORD AREZZO,66,"OSPEDALE UNICO ""VERSILIA""",{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 -0.18022982571685364] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
95,51002,48,AREA ARETINA NORD AREZZO,54,NUOVO OSPEDALE BORGO S.LORENZO (FI),{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -0.8914205032922013] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
