who,timeatbirth,pro_com,selectedhospitalemp,name_selectedhospitalemp,selectedhospital,name_selectedhospital,rankinglist,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
85,1577,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6759090635404064] [51 0.3806288518843651] [61 0.6022040093584238] [49 -0.7597426270918117] [66 0.020817582449285225] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
86,3522,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6077053791502998] [50 0.7055632161387961] [51 0.8184351286276215] [61 1] [63 1] [49 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
87,3491,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [54 -0.8377303694682359] [52 -0.7826304202203246] [57 0.11710068364543372] [70 -1] [49 0] [50 0] [51 0] [53 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
88,1004,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[50 1] [54 -1] [61 1] [49 -0.9678882532459265] [70 -1] [48 0.01068972087202888] [51 0] [52 0] [53 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
89,652,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.9094189872309342] [65 0.7276304402896622] [54 -0.792830080809386] [49 -1] [67 -9.239410133558109E-4] [50 0] [51 0] [52 0] [53 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [66 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
90,754,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6948942851874714] [51 0.542654368167419] [61 1] [63 0.7877320488129544] [70 -0.8224551131919314] [49 0] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
91,1973,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6401124489818846] [50 1] [54 -0.9929285254560125] [55 0.4095944573964254] [60 0.3495602475642525] [49 0] [51 0] [52 0] [53 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
92,1338,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.8072244999570991] [58 1] [59 0.3195042907301212] [60 1] [70 -0.5184374447651939] [49 0] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
93,864,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.49596325385970635] [52 -0.8375374828081874] [49 -1] [60 0.7938639430360624] [70 -0.8369132881777706] [50 0] [51 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
94,3372,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [51 0.40194225761390595] [49 -1] [55 0.32917189204780906] [64 0.5377189102470946] [50 0] [52 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
95,2932,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6789504557597238] [49 -1] [55 0.6559646094764884] [63 0.8234032421093377] [70 -0.6718689287652588] [50 0] [51 0] [52 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
96,1126,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.5358462199007477] [49 -0.8398881136428198] [64 0.44784657493570196] [57 0.2156643727911938] [70 -0.9501423621434565] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
97,2426,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[52 -0.6661517214362284] [49 -0.6590157556415248] [55 0.5548529716859909] [64 0.26282701719820434] [70 -1] [48 -0.13623515635889613] [50 0] [51 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
98,2711,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.629272679081139] [51 0.9345028765021832] [49 -1] [57 -0.20451023894192474] [70 -1] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
99,3325,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.9063024924668093] [61 1] [55 0.746391793913909] [64 0.44773901249726494] [63 0.818266397132806] [49 0] [50 0] [51 0] [52 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
100,3465,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[50 1] [54 -1] [61 1] [69 0.36179668044555974] [60 1] [48 -0.21843369074740335] [49 0] [51 0] [52 0] [53 0] [55 0] [56 0] [57 0] [58 0] [59 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
101,2739,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.8480656335497134] [61 0.7997015969568705] [64 0.629836449838809] [57 0.3005559568976581] [70 -1] [49 0] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
102,1400,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.9344410710711952] [65 0.3373624585673505] [49 -0.6313018036579987] [71 -0.8020644804739698] [60 1] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [66 0] [67 0] [68 0] [69 0] [70 0]]}},true,90,46,-10,5,10,true,0,0.25,false
103,2156,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [65 0.7110677122961985] [54 -1] [49 -0.8117585793223795] [55 0.2954205739569742] [50 0] [51 0] [52 0] [53 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
104,882,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [54 -1] [52 -1] [60 0.8973066612297452] [70 -0.9524702034544966] [49 0] [50 0] [51 0] [53 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
105,1904,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.740637156912566] [65 0.16302369434103697] [49 -1] [58 1] [60 1] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [59 0] [61 0] [62 0] [63 0] [64 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
106,125,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.7236899541087369] [52 -0.4844252910785851] [55 0.5704799627804592] [64 0.3196683834849444] [56 0.6852419713109367] [49 0] [50 0] [51 0] [53 0] [54 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
