who,pro_com,selectedhospitalemp,selectedhospital,rescale15%,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
177,51010,48,48,true,260,50,-50,50,50,false,0,0,false
178,51011,48,48,true,260,50,-50,50,50,false,0,0,false
179,51011,48,48,true,260,50,-50,50,50,false,0,0,false
180,51012,48,48,true,260,50,-50,50,50,false,0,0,false
181,51012,48,60,true,260,50,-50,50,50,false,0,0,false
182,51012,48,48,true,260,50,-50,50,50,false,0,0,false
183,51012,48,48,true,260,50,-50,50,50,false,0,0,false
184,51012,48,48,true,260,50,-50,50,50,false,0,0,false
185,51012,48,48,true,260,50,-50,50,50,false,0,0,false
186,51012,48,48,true,260,50,-50,50,50,false,0,0,false
187,51012,48,48,true,260,50,-50,50,50,false,0,0,false
188,51012,48,48,true,260,50,-50,50,50,false,0,0,false
189,51012,48,48,true,260,50,-50,50,50,false,0,0,false
190,51013,48,48,true,260,50,-50,50,50,false,0,0,false
191,51013,48,63,true,260,50,-50,50,50,false,0,0,false
192,51013,48,63,true,260,50,-50,50,50,false,0,0,false
193,51014,48,48,true,260,50,-50,50,50,false,0,0,false
194,51015,48,48,true,260,50,-50,50,50,false,0,0,false
195,51016,48,48,true,260,50,-50,50,50,false,0,0,false
196,51016,48,48,true,260,50,-50,50,50,false,0,0,false
197,51016,48,48,true,260,50,-50,50,50,false,0,0,false
198,51016,48,60,true,260,50,-50,50,50,false,0,0,false
199,51016,48,48,true,260,50,-50,50,50,false,0,0,false
200,51016,48,48,true,260,50,-50,50,50,false,0,0,false
201,51017,48,48,true,260,50,-50,50,50,false,0,0,false
202,51017,48,48,true,260,50,-50,50,50,false,0,0,false
203,51017,48,48,true,260,50,-50,50,50,false,0,0,false
204,51017,48,48,true,260,50,-50,50,50,false,0,0,false
205,51017,48,48,true,260,50,-50,50,50,false,0,0,false
206,51017,48,48,true,260,50,-50,50,50,false,0,0,false
207,51017,48,48,true,260,50,-50,50,50,false,0,0,false
208,51017,48,48,true,260,50,-50,50,50,false,0,0,false
209,51017,48,48,true,260,50,-50,50,50,false,0,0,false
210,51017,48,48,true,260,50,-50,50,50,false,0,0,false
211,51017,48,48,true,260,50,-50,50,50,false,0,0,false
212,51017,48,48,true,260,50,-50,50,50,false,0,0,false
213,51018,48,48,true,260,50,-50,50,50,false,0,0,false
214,51018,48,63,true,260,50,-50,50,50,false,0,0,false
215,51018,48,48,true,260,50,-50,50,50,false,0,0,false
216,51018,48,60,true,260,50,-50,50,50,false,0,0,false
217,51020,48,48,true,260,50,-50,50,50,false,0,0,false
218,51021,48,48,true,260,50,-50,50,50,false,0,0,false
219,51022,48,63,true,260,50,-50,50,50,false,0,0,false
220,51022,48,48,true,260,50,-50,50,50,false,0,0,false
221,51022,48,48,true,260,50,-50,50,50,false,0,0,false
222,51023,48,50,true,260,50,-50,50,50,false,0,0,false
223,51024,48,48,true,260,50,-50,50,50,false,0,0,false
224,51025,48,61,true,260,50,-50,50,50,false,0,0,false
225,51025,48,60,true,260,50,-50,50,50,false,0,0,false
226,51025,48,48,true,260,50,-50,50,50,false,0,0,false
227,51025,48,48,true,260,50,-50,50,50,false,0,0,false
228,51025,48,48,true,260,50,-50,50,50,false,0,0,false
229,51025,48,48,true,260,50,-50,50,50,false,0,0,false
230,51025,48,48,true,260,50,-50,50,50,false,0,0,false
231,51025,48,48,true,260,50,-50,50,50,false,0,0,false
232,51026,48,60,true,260,50,-50,50,50,false,0,0,false
233,51026,48,50,true,260,50,-50,50,50,false,0,0,false
234,51026,48,50,true,260,50,-50,50,50,false,0,0,false
235,51026,48,63,true,260,50,-50,50,50,false,0,0,false
236,51026,48,61,true,260,50,-50,50,50,false,0,0,false
237,51027,48,50,true,260,50,-50,50,50,false,0,0,false
238,51030,48,48,true,260,50,-50,50,50,false,0,0,false
239,51031,48,50,true,260,50,-50,50,50,false,0,0,false
240,51031,48,48,true,260,50,-50,50,50,false,0,0,false
241,51031,48,48,true,260,50,-50,50,50,false,0,0,false
242,51033,48,63,true,260,50,-50,50,50,false,0,0,false
243,51034,48,48,true,260,50,-50,50,50,false,0,0,false
244,51034,48,48,true,260,50,-50,50,50,false,0,0,false
245,51034,48,48,true,260,50,-50,50,50,false,0,0,false
246,51034,48,48,true,260,50,-50,50,50,false,0,0,false
247,51034,48,48,true,260,50,-50,50,50,false,0,0,false
248,51034,48,48,true,260,50,-50,50,50,false,0,0,false
249,51034,48,48,true,260,50,-50,50,50,false,0,0,false
250,51034,48,48,true,260,50,-50,50,50,false,0,0,false
251,51037,48,48,true,260,50,-50,50,50,false,0,0,false
252,51037,48,48,true,260,50,-50,50,50,false,0,0,false
253,51037,48,48,true,260,50,-50,50,50,false,0,0,false
254,51037,48,48,true,260,50,-50,50,50,false,0,0,false
255,51037,48,60,true,260,50,-50,50,50,false,0,0,false
256,51038,48,48,true,260,50,-50,50,50,false,0,0,false
257,51039,48,63,true,260,50,-50,50,50,false,0,0,false
258,51040,48,48,true,260,50,-50,50,50,false,0,0,false
259,51041,48,48,true,260,50,-50,50,50,false,0,0,false
260,51041,48,50,true,260,50,-50,50,50,false,0,0,false
261,51042,48,48,true,260,50,-50,50,50,false,0,0,false
262,48001,48,60,true,260,50,-50,50,50,false,0,0,false
263,48017,48,63,true,260,50,-50,50,50,false,0,0,false
264,48035,48,60,true,260,50,-50,50,50,false,0,0,false
265,48052,48,48,true,260,50,-50,50,50,false,0,0,false
266,53009,48,58,true,260,50,-50,50,50,false,0,0,false
267,53018,48,50,true,260,50,-50,50,50,false,0,0,false
268,49009,48,58,true,260,50,-50,50,50,false,0,0,false
269,46024,48,58,true,260,50,-50,50,50,false,0,0,false
270,50008,48,58,true,260,50,-50,50,50,false,0,0,false
271,52001,48,48,true,260,50,-50,50,50,false,0,0,false
272,52007,48,48,true,260,50,-50,50,50,false,0,0,false
273,52009,48,50,true,260,50,-50,50,50,false,0,0,false
274,52011,48,60,true,260,50,-50,50,50,false,0,0,false
275,52012,48,61,true,260,50,-50,50,50,false,0,0,false
276,52015,48,48,true,260,50,-50,50,50,false,0,0,false
277,52027,48,48,true,260,50,-50,50,50,false,0,0,false
278,52030,48,50,true,260,50,-50,50,50,false,0,0,false
279,52031,48,48,true,260,50,-50,50,50,false,0,0,false
280,52032,48,50,true,260,50,-50,50,50,false,0,0,false
281,52033,48,48,true,260,50,-50,50,50,false,0,0,false
282,52035,48,48,true,260,50,-50,50,50,false,0,0,false
283,51001,49,48,true,260,50,-50,50,50,false,0,0,false
284,51002,49,50,true,260,50,-50,50,50,false,0,0,false
285,51004,49,50,true,260,50,-50,50,50,false,0,0,false
286,51005,49,50,true,260,50,-50,50,50,false,0,0,false
287,51005,49,48,true,260,50,-50,50,50,false,0,0,false
288,51005,49,48,true,260,50,-50,50,50,false,0,0,false
289,51005,49,50,true,260,50,-50,50,50,false,0,0,false
290,51005,49,48,true,260,50,-50,50,50,false,0,0,false
291,51005,49,48,true,260,50,-50,50,50,false,0,0,false
292,51005,49,50,true,260,50,-50,50,50,false,0,0,false
293,51008,49,48,true,260,50,-50,50,50,false,0,0,false
294,51011,49,48,true,260,50,-50,50,50,false,0,0,false
295,51012,49,48,true,260,50,-50,50,50,false,0,0,false
296,51013,49,48,true,260,50,-50,50,50,false,0,0,false
297,51013,49,60,true,260,50,-50,50,50,false,0,0,false
298,51013,49,50,true,260,50,-50,50,50,false,0,0,false
299,51013,49,60,true,260,50,-50,50,50,false,0,0,false
300,51013,49,63,true,260,50,-50,50,50,false,0,0,false
301,51013,49,60,true,260,50,-50,50,50,false,0,0,false
302,51015,49,48,true,260,50,-50,50,50,false,0,0,false
303,51016,49,48,true,260,50,-50,50,50,false,0,0,false
304,51020,49,48,true,260,50,-50,50,50,false,0,0,false
305,51020,49,48,true,260,50,-50,50,50,false,0,0,false
306,51025,49,48,true,260,50,-50,50,50,false,0,0,false
307,51026,49,63,true,260,50,-50,50,50,false,0,0,false
308,51026,49,50,true,260,50,-50,50,50,false,0,0,false
309,51026,49,48,true,260,50,-50,50,50,false,0,0,false
310,51026,49,50,true,260,50,-50,50,50,false,0,0,false
311,51026,49,48,true,260,50,-50,50,50,false,0,0,false
312,51026,49,63,true,260,50,-50,50,50,false,0,0,false
313,51026,49,48,true,260,50,-50,50,50,false,0,0,false
314,51026,49,61,true,260,50,-50,50,50,false,0,0,false
315,51026,49,61,true,260,50,-50,50,50,false,0,0,false
316,51026,49,50,true,260,50,-50,50,50,false,0,0,false
317,51026,49,63,true,260,50,-50,50,50,false,0,0,false
318,51026,49,50,true,260,50,-50,50,50,false,0,0,false
319,51026,49,48,true,260,50,-50,50,50,false,0,0,false
320,51026,49,61,true,260,50,-50,50,50,false,0,0,false
321,51026,49,48,true,260,50,-50,50,50,false,0,0,false
322,51026,49,63,true,260,50,-50,50,50,false,0,0,false
323,51026,49,48,true,260,50,-50,50,50,false,0,0,false
324,51031,49,50,true,260,50,-50,50,50,false,0,0,false
325,51033,49,60,true,260,50,-50,50,50,false,0,0,false
326,51033,49,60,true,260,50,-50,50,50,false,0,0,false
327,51033,49,50,true,260,50,-50,50,50,false,0,0,false
328,51033,49,48,true,260,50,-50,50,50,false,0,0,false
329,51033,49,48,true,260,50,-50,50,50,false,0,0,false
330,51033,49,48,true,260,50,-50,50,50,false,0,0,false
331,51033,49,61,true,260,50,-50,50,50,false,0,0,false
332,51033,49,61,true,260,50,-50,50,50,false,0,0,false
333,51033,49,48,true,260,50,-50,50,50,false,0,0,false
334,51039,49,48,true,260,50,-50,50,50,false,0,0,false
335,51039,49,48,true,260,50,-50,50,50,false,0,0,false
336,51039,49,50,true,260,50,-50,50,50,false,0,0,false
337,51039,49,48,true,260,50,-50,50,50,false,0,0,false
338,51039,49,48,true,260,50,-50,50,50,false,0,0,false
339,51039,49,48,true,260,50,-50,50,50,false,0,0,false
340,51039,49,48,true,260,50,-50,50,50,false,0,0,false
341,51040,49,61,true,260,50,-50,50,50,false,0,0,false
342,51040,49,48,true,260,50,-50,50,50,false,0,0,false
343,51040,49,48,true,260,50,-50,50,50,false,0,0,false
344,51040,49,60,true,260,50,-50,50,50,false,0,0,false
345,51040,49,48,true,260,50,-50,50,50,false,0,0,false
346,51040,49,61,true,260,50,-50,50,50,false,0,0,false
347,51041,49,50,true,260,50,-50,50,50,false,0,0,false
348,51042,49,61,true,260,50,-50,50,50,false,0,0,false
349,51042,49,48,true,260,50,-50,50,50,false,0,0,false
350,48001,49,60,true,260,50,-50,50,50,false,0,0,false
351,48004,49,50,true,260,50,-50,50,50,false,0,0,false
352,48017,49,48,true,260,50,-50,50,50,false,0,0,false
353,48021,49,61,true,260,50,-50,50,50,false,0,0,false
354,48035,49,61,true,260,50,-50,50,50,false,0,0,false
355,48035,49,48,true,260,50,-50,50,50,false,0,0,false
356,48035,49,60,true,260,50,-50,50,50,false,0,0,false
357,48036,49,63,true,260,50,-50,50,50,false,0,0,false
358,48044,49,50,true,260,50,-50,50,50,false,0,0,false
359,48052,49,61,true,260,50,-50,50,50,false,0,0,false
360,48052,49,50,true,260,50,-50,50,50,false,0,0,false
361,48052,49,61,true,260,50,-50,50,50,false,0,0,false
362,48052,49,60,true,260,50,-50,50,50,false,0,0,false
363,48052,49,60,true,260,50,-50,50,50,false,0,0,false
364,48052,49,63,true,260,50,-50,50,50,false,0,0,false
365,52002,49,48,true,260,50,-50,50,50,false,0,0,false
366,52013,49,61,true,260,50,-50,50,50,false,0,0,false
367,51002,50,50,true,260,50,-50,50,50,false,0,0,false
368,51002,50,48,true,260,50,-50,50,50,false,0,0,false
369,51005,50,60,true,260,50,-50,50,50,false,0,0,false
370,51005,50,63,true,260,50,-50,50,50,false,0,0,false
371,51006,50,48,true,260,50,-50,50,50,false,0,0,false
372,51010,50,48,true,260,50,-50,50,50,false,0,0,false
373,51012,50,48,true,260,50,-50,50,50,false,0,0,false
374,51013,50,50,true,260,50,-50,50,50,false,0,0,false
375,51015,50,48,true,260,50,-50,50,50,false,0,0,false
376,51020,50,60,true,260,50,-50,50,50,false,0,0,false
377,51022,50,60,true,260,50,-50,50,50,false,0,0,false
378,51025,50,60,true,260,50,-50,50,50,false,0,0,false
379,51026,50,63,true,260,50,-50,50,50,false,0,0,false
380,51026,50,48,true,260,50,-50,50,50,false,0,0,false
381,51031,50,50,true,260,50,-50,50,50,false,0,0,false
382,51033,50,63,true,260,50,-50,50,50,false,0,0,false
383,51033,50,48,true,260,50,-50,50,50,false,0,0,false
384,51037,50,48,true,260,50,-50,50,50,false,0,0,false
385,51039,50,48,true,260,50,-50,50,50,false,0,0,false
386,51040,50,61,true,260,50,-50,50,50,false,0,0,false
387,48001,50,60,true,260,50,-50,50,50,false,0,0,false
388,48001,50,50,true,260,50,-50,50,50,false,0,0,false
389,48001,50,63,true,260,50,-50,50,50,false,0,0,false
390,48002,50,61,true,260,50,-50,50,50,false,0,0,false
391,48002,50,63,true,260,50,-50,50,50,false,0,0,false
392,48004,50,63,true,260,50,-50,50,50,false,0,0,false
393,48005,50,61,true,260,50,-50,50,50,false,0,0,false
394,48005,50,63,true,260,50,-50,50,50,false,0,0,false
395,48005,50,50,true,260,50,-50,50,50,false,0,0,false
396,48005,50,63,true,260,50,-50,50,50,false,0,0,false
397,48005,50,61,true,260,50,-50,50,50,false,0,0,false
398,48005,50,61,true,260,50,-50,50,50,false,0,0,false
399,48005,50,50,true,260,50,-50,50,50,false,0,0,false
400,48005,50,60,true,260,50,-50,50,50,false,0,0,false
401,48005,50,61,true,260,50,-50,50,50,false,0,0,false
402,48005,50,61,true,260,50,-50,50,50,false,0,0,false
403,48005,50,48,true,260,50,-50,50,50,false,0,0,false
404,48006,50,61,true,260,50,-50,50,50,false,0,0,false
405,48006,50,60,true,260,50,-50,50,50,false,0,0,false
406,48006,50,63,true,260,50,-50,50,50,false,0,0,false
407,48006,50,61,true,260,50,-50,50,50,false,0,0,false
408,48006,50,61,true,260,50,-50,50,50,false,0,0,false
409,48006,50,50,true,260,50,-50,50,50,false,0,0,false
410,48006,50,50,true,260,50,-50,50,50,false,0,0,false
411,48006,50,60,true,260,50,-50,50,50,false,0,0,false
412,48006,50,63,true,260,50,-50,50,50,false,0,0,false
413,48006,50,63,true,260,50,-50,50,50,false,0,0,false
414,48006,50,50,true,260,50,-50,50,50,false,0,0,false
415,48006,50,58,true,260,50,-50,50,50,false,0,0,false
416,48006,50,61,true,260,50,-50,50,50,false,0,0,false
417,48006,50,50,true,260,50,-50,50,50,false,0,0,false
418,48006,50,63,true,260,50,-50,50,50,false,0,0,false
419,48006,50,63,true,260,50,-50,50,50,false,0,0,false
420,48006,50,60,true,260,50,-50,50,50,false,0,0,false
421,48006,50,50,true,260,50,-50,50,50,false,0,0,false
422,48006,50,63,true,260,50,-50,50,50,false,0,0,false
423,48006,50,61,true,260,50,-50,50,50,false,0,0,false
424,48006,50,58,true,260,50,-50,50,50,false,0,0,false
425,48006,50,50,true,260,50,-50,50,50,false,0,0,false
426,48006,50,63,true,260,50,-50,50,50,false,0,0,false
427,48006,50,60,true,260,50,-50,50,50,false,0,0,false
428,48008,50,60,true,260,50,-50,50,50,false,0,0,false
429,48010,50,63,true,260,50,-50,50,50,false,0,0,false
430,48010,50,58,true,260,50,-50,50,50,false,0,0,false
431,48011,50,58,true,260,50,-50,50,50,false,0,0,false
432,48012,50,60,true,260,50,-50,50,50,false,0,0,false
433,48013,50,63,true,260,50,-50,50,50,false,0,0,false
434,48014,50,58,true,260,50,-50,50,50,false,0,0,false
435,48014,50,63,true,260,50,-50,50,50,false,0,0,false
436,48014,50,61,true,260,50,-50,50,50,false,0,0,false
437,48014,50,61,true,260,50,-50,50,50,false,0,0,false
438,48014,50,50,true,260,50,-50,50,50,false,0,0,false
439,48014,50,63,true,260,50,-50,50,50,false,0,0,false
440,48015,50,60,true,260,50,-50,50,50,false,0,0,false
441,48015,50,63,true,260,50,-50,50,50,false,0,0,false
442,48015,50,50,true,260,50,-50,50,50,false,0,0,false
443,48015,50,63,true,260,50,-50,50,50,false,0,0,false
444,48015,50,60,true,260,50,-50,50,50,false,0,0,false
445,48015,50,60,true,260,50,-50,50,50,false,0,0,false
446,48015,50,63,true,260,50,-50,50,50,false,0,0,false
447,48017,50,60,true,260,50,-50,50,50,false,0,0,false
448,48017,50,50,true,260,50,-50,50,50,false,0,0,false
449,48017,50,63,true,260,50,-50,50,50,false,0,0,false
450,48017,50,50,true,260,50,-50,50,50,false,0,0,false
451,48017,50,60,true,260,50,-50,50,50,false,0,0,false
452,48017,50,60,true,260,50,-50,50,50,false,0,0,false
453,48017,50,60,true,260,50,-50,50,50,false,0,0,false
454,48017,50,50,true,260,50,-50,50,50,false,0,0,false
455,48017,50,58,true,260,50,-50,50,50,false,0,0,false
456,48017,50,63,true,260,50,-50,50,50,false,0,0,false
457,48017,50,63,true,260,50,-50,50,50,false,0,0,false
458,48017,50,61,true,260,50,-50,50,50,false,0,0,false
459,48017,50,60,true,260,50,-50,50,50,false,0,0,false
460,48017,50,50,true,260,50,-50,50,50,false,0,0,false
461,48017,50,61,true,260,50,-50,50,50,false,0,0,false
462,48017,50,63,true,260,50,-50,50,50,false,0,0,false
463,48017,50,60,true,260,50,-50,50,50,false,0,0,false
464,48017,50,60,true,260,50,-50,50,50,false,0,0,false
465,48017,50,61,true,260,50,-50,50,50,false,0,0,false
466,48017,50,63,true,260,50,-50,50,50,false,0,0,false
467,48017,50,61,true,260,50,-50,50,50,false,0,0,false
468,48017,50,50,true,260,50,-50,50,50,false,0,0,false
469,48017,50,63,true,260,50,-50,50,50,false,0,0,false
470,48017,50,61,true,260,50,-50,50,50,false,0,0,false
471,48017,50,61,true,260,50,-50,50,50,false,0,0,false
472,48017,50,61,true,260,50,-50,50,50,false,0,0,false
473,48017,50,60,true,260,50,-50,50,50,false,0,0,false
474,48017,50,61,true,260,50,-50,50,50,false,0,0,false
475,48017,50,60,true,260,50,-50,50,50,false,0,0,false
476,48017,50,60,true,260,50,-50,50,50,false,0,0,false
477,48017,50,60,true,260,50,-50,50,50,false,0,0,false
478,48017,50,50,true,260,50,-50,50,50,false,0,0,false
479,48017,50,50,true,260,50,-50,50,50,false,0,0,false
480,48017,50,50,true,260,50,-50,50,50,false,0,0,false
481,48017,50,60,true,260,50,-50,50,50,false,0,0,false
482,48017,50,60,true,260,50,-50,50,50,false,0,0,false
483,48017,50,60,true,260,50,-50,50,50,false,0,0,false
484,48017,50,61,true,260,50,-50,50,50,false,0,0,false
485,48017,50,60,true,260,50,-50,50,50,false,0,0,false
486,48017,50,50,true,260,50,-50,50,50,false,0,0,false
487,48017,50,63,true,260,50,-50,50,50,false,0,0,false
488,48017,50,60,true,260,50,-50,50,50,false,0,0,false
489,48017,50,50,true,260,50,-50,50,50,false,0,0,false
490,48017,50,50,true,260,50,-50,50,50,false,0,0,false
491,48017,50,61,true,260,50,-50,50,50,false,0,0,false
492,48017,50,50,true,260,50,-50,50,50,false,0,0,false
493,48017,50,50,true,260,50,-50,50,50,false,0,0,false
494,48017,50,50,true,260,50,-50,50,50,false,0,0,false
495,48017,50,50,true,260,50,-50,50,50,false,0,0,false
496,48017,50,50,true,260,50,-50,50,50,false,0,0,false
497,48017,50,50,true,260,50,-50,50,50,false,0,0,false
498,48017,50,63,true,260,50,-50,50,50,false,0,0,false
499,48017,50,60,true,260,50,-50,50,50,false,0,0,false
500,48017,50,60,true,260,50,-50,50,50,false,0,0,false
501,48017,50,50,true,260,50,-50,50,50,false,0,0,false
502,48017,50,50,true,260,50,-50,50,50,false,0,0,false
503,48017,50,60,true,260,50,-50,50,50,false,0,0,false
504,48017,50,61,true,260,50,-50,50,50,false,0,0,false
505,48017,50,61,true,260,50,-50,50,50,false,0,0,false
506,48017,50,50,true,260,50,-50,50,50,false,0,0,false
507,48017,50,50,true,260,50,-50,50,50,false,0,0,false
508,48017,50,60,true,260,50,-50,50,50,false,0,0,false
509,48017,50,61,true,260,50,-50,50,50,false,0,0,false
510,48017,50,50,true,260,50,-50,50,50,false,0,0,false
511,48017,50,48,true,260,50,-50,50,50,false,0,0,false
512,48017,50,63,true,260,50,-50,50,50,false,0,0,false
513,48017,50,63,true,260,50,-50,50,50,false,0,0,false
514,48017,50,61,true,260,50,-50,50,50,false,0,0,false
515,48017,50,60,true,260,50,-50,50,50,false,0,0,false
516,48017,50,50,true,260,50,-50,50,50,false,0,0,false
517,48017,50,50,true,260,50,-50,50,50,false,0,0,false
518,48017,50,60,true,260,50,-50,50,50,false,0,0,false
519,48017,50,63,true,260,50,-50,50,50,false,0,0,false
520,48017,50,50,true,260,50,-50,50,50,false,0,0,false
521,48017,50,50,true,260,50,-50,50,50,false,0,0,false
522,48017,50,60,true,260,50,-50,50,50,false,0,0,false
523,48017,50,63,true,260,50,-50,50,50,false,0,0,false
524,48017,50,60,true,260,50,-50,50,50,false,0,0,false
525,48017,50,60,true,260,50,-50,50,50,false,0,0,false
526,48017,50,50,true,260,50,-50,50,50,false,0,0,false
527,48017,50,61,true,260,50,-50,50,50,false,0,0,false
528,48017,50,60,true,260,50,-50,50,50,false,0,0,false
529,48017,50,63,true,260,50,-50,50,50,false,0,0,false
530,48017,50,60,true,260,50,-50,50,50,false,0,0,false
531,48017,50,61,true,260,50,-50,50,50,false,0,0,false
